year,continent,theme,prop,prop.cat
0,Africa,Surveillance & Prevention,0.387437359,0.3-0.4
0,Africa,Agroecological Control,0.036379905,0-0.1
0,Africa,Conventional Control,0.176997809,0.1-0.2
0,Africa,Government,0.205415147,0.2-0.3
0,Africa,Research & Development,0.003518558,0-0.1
0,Africa,Invasive Species,0.015249507,0-0.1
0,Africa,Social Impacts,0.102112884,0.1-0.2
0,Africa,Crop Impacts,0.05544252,0-0.1
0,Africa,Agriculture,0.017446312,0-0.1
0,Asia,Surveillance & Prevention,0.259069423,0.2-0.3
0,Asia,Agroecological Control,0.056198658,0-0.1
0,Asia,Conventional Control,0.031487182,0-0.1
0,Asia,Government,0.220798725,0.2-0.3
0,Asia,Research & Development,0.009466687,0-0.1
0,Asia,Invasive Species,0.161675602,0.1-0.2
0,Asia,Social Impacts,0.093640247,0-0.1
0,Asia,Crop Impacts,0.149004372,0.1-0.2
0,Asia,Agriculture,0.018659104,0-0.1
0,Oceania,Surveillance & Prevention,0.722231783,0.7-0.8
0,Oceania,Agroecological Control,0.079250686,0-0.1
0,Oceania,Conventional Control,0.007544165,0-0.1
0,Oceania,Government,0.054558256,0-0.1
0,Oceania,Research & Development,0.000501689,0-0.1
0,Oceania,Invasive Species,0.000248639,0-0.1
0,Oceania,Social Impacts,0.012083083,0-0.1
0,Oceania,Crop Impacts,0.043723692,0-0.1
0,Oceania,Agriculture,0.079858009,0-0.1
1,Africa,Surveillance & Prevention,0.314989669,0.3-0.4
1,Africa,Agroecological Control,0.09380187,0-0.1
1,Africa,Conventional Control,0.132874286,0.1-0.2
1,Africa,Government,0.247294352,0.2-0.3
1,Africa,Research & Development,0.01894021,0-0.1
1,Africa,Invasive Species,0.041380378,0-0.1
1,Africa,Social Impacts,0.063768369,0-0.1
1,Africa,Crop Impacts,0.047673226,0-0.1
1,Africa,Agriculture,0.03927764,0-0.1
1,Asia,Surveillance & Prevention,0.153092636,0.1-0.2
1,Asia,Agroecological Control,0.136945098,0.1-0.2
1,Asia,Conventional Control,0.047290493,0-0.1
1,Asia,Government,0.159860238,0.1-0.2
1,Asia,Research & Development,0.045530592,0-0.1
1,Asia,Invasive Species,0.085238624,0-0.1
1,Asia,Social Impacts,0.294142703,0.2-0.3
1,Asia,Crop Impacts,0.049843618,0-0.1
1,Asia,Agriculture,0.028055998,0-0.1
1,Oceania,Surveillance & Prevention,0.124418079,0.1-0.2
1,Oceania,Agroecological Control,0.000771903,0-0.1
1,Oceania,Conventional Control,0.020756895,0-0.1
1,Oceania,Government,0.249904068,0.2-0.3
1,Oceania,Research & Development,0.061289933,0-0.1
1,Oceania,Invasive Species,0.00018303,0-0.1
1,Oceania,Social Impacts,0.011890524,0-0.1
1,Oceania,Crop Impacts,0.529480706,0.5-0.6
1,Oceania,Agriculture,0.001304862,0-0.1
2,Africa,Surveillance & Prevention,0.132508151,0.1-0.2
2,Africa,Agroecological Control,0.161628963,0.1-0.2
