doc_id,region,continent,regional_year_of_invasion,publication_date,years_since_regional_entry,domain,
1,Africa,Africa,0,2/3/21,5,www.eurekalert.org,
2,Africa,Africa,0,3/23/17,1,reliefweb.int,
3,Africa,Africa,0,7/19/18,2,blogs.voanews.com,
4,Africa,Africa,0,4/13/20,4,www.downtoearth.org.in,
5,Africa,Africa,0,9/21/17,1,reliefweb.int,
6,Africa,Africa,0,6/20/17,1,reliefweb.int,
7,Africa,Africa,0,1/24/17,1,www.cnn.com,
8,Africa,Africa,0,7/14/17,1,www.voanews.com,
9,Africa,Africa,0,1/18/17,1,www.voanews.com,
10,Africa,Africa,0,7/4/17,1,reliefweb.int,
11,Africa,Africa,0,2/9/17,1,www.humanosphere.org,
12,Africa,Africa,0,2/8/17,1,foreignpolicy.com,
13,Africa,Africa,0,2/17/17,1,www.dw.com,
14,Africa,Africa,0,1/24/18,2,www.economist.com,
15,Africa,Africa,0,2/16/18,2,reliefweb.int,
16,Africa,Africa,0,2/7/18,2,reliefweb.int,
17,Africa,Africa,0,3/4/18,2,reliefweb.int,
18,Africa,Africa,0,5/3/18,2,phys.org,
19,Africa,Africa,0,6/20/18,2,www.allaboutfeed.net,
20,Africa,Africa,0,1/31/18,2,reliefweb.int,
21,Africa,Africa,0,1/30/18,2,geneticliteracyproject.org,
22,Africa,Africa,0,2/6/18,2,reliefweb.int,
23,Africa,Africa,0,9/6/18,2,phys.org,
24,Africa,Africa,0,7/24/18,2,economist.com.na,
25,Africa,Africa,0,5/28/18,2,www.downtoearth.org.in,
26,Africa,Africa,0,3/18/18,2,brandspurng.com,
27,Africa,Africa,0,10/26/18,2,reliefweb.int,
28,Africa,Africa,0,11/5/18,2,www.allaboutfeed.net,
29,Africa,Africa,0,4/4/19,2,www.scidev.net,
30,Africa,Africa,0,12/13/18,2,geneticliteracyproject.org,
31,Africa,Africa,0,4/2/19,3,phys.org,
32,Africa,Africa,0,10/26/18,2,news.mongabay.com,
33,Africa,Africa,0,5/15/19,3,seedworld.com,
34,Africa,Africa,0,9/6/19,3,www.earth.com,
35,Africa,Africa,0,6/17/20,4,phys.org,
36,Africa,Africa,0,1/11/21,5,www.herald.co.zw,
37,Africa,Africa,0,1/13/21,5,allafrica.com,
38,Africa,Africa,0,1/8/21,5,www.monitor.co.ug,
39,Africa,Africa,0,4/12/21,5,www.allaboutfeed.net,
40,Africa,Africa,0,2/3/21,5,www.eurekalert.org,
41,Africa,Africa,0,8/11/21,5,www.leeds.ac.uk,
42,Africa,Africa,0,11/30/21,5,www.thisdaylive.com,
43,Africa,Africa,0,9/9/21,5,science.thewire.in,
44,Africa,Africa,0,3/3/22,6,phys.org,
45,Africa,Africa,0,4/22/22,6,www.theeastafrican.co.ke,
46,Africa,Africa,0,3/25/22,6,www.cimmyt.org,
47,Africa,Africa,0,8/9/22,6,www.downtoearth.org.in,
48,Africa,Africa,0,9/21/22,6,phys.org,
49,Africa,Africa,0,11/8/22,6,theconversation.com,
50,Africa,Africa,0,9/12/22,6,www.theafricareport.com,
51,Africa,Africa,0,10/19/22,6,morningstaronline.co.uk,
52,Africa,Africa,0,6/25/18,2,www.psu.edu,
53,Africa,Africa,0,9/29/20,4,www.devex.com,
54,Africa,Africa,0,4/13/20,4,www.downtoearth.org.in,
55,Africa,Africa,0,4/28/17,1,www.ft.com,
56,Africa,Africa,0,2/28/17,1,www.smithsonianmag.com,
57,Africa,Africa,0,4/4/19,3,www.scidev.net,
58,Africa,Africa,0,3/2/17,1,www.nature.com,
59,Africa,Africa,0,11/24/17,1,www.dw.com,
60,Africa,Africa,0,7/6/18,2,farmersreviewafrica.com,
61,Asia,Asia,2,8/10/18,0,news.un.org,
62,Asia,Asia,2,3/25/19,1,www.telegraph.co.uk,
63,Asia,Asia,2,1/9/19,1,www.telegraph.co.uk,
64,Asia,Asia,2,7/17/19,1,www.thejakartapost.com,
65,Asia,Asia,2,6/9/20,2,www.phnompenhpost.com,
66,Asia,Asia,2,6/16/22,4,www.agribusinessglobal.com,
67,Asia,Asia,2,8/16/22,4,www.cimmyt.org,
68,Asia,Asia,2,10/14/22,4,www.cimmyt.org,
69,Asia,Asia,2,3/25/19,1,www.telegraph.co.uk,
70,Australia,Oceania,4,3/3/20,0,www.freshfruitportal.com,
71,Australia,Oceania,4,12/7/17,0,www.abc.net.au,
72,Australia,Oceania,4,2/25/20,0,www.abc.net.au,
73,Australia,Oceania,4,2/17/20,0,www.brisbanetimes.com.au,
74,Australia,Oceania,4,4/8/20,0,www.abc.net.au,
75,Australia,Oceania,4,12/29/20,0,www.ruralnewsgroup.co.nz,
76,Australia,Oceania,4,4/1/20,0,www.abc.net.au,
77,Australia,Oceania,4,4/24/20,0,www.abc.net.au,
78,Australia,Oceania,4,11/13/20,0,www.graincentral.com,
79,Australia,Oceania,4,4/2/20,0,www.beefcentral.com,
80,Australia,Oceania,4,3/3/20,0,7news.com.au,
81,Australia,Oceania,4,1/12/21,1,www.miragenews.com,
82,Australia,Oceania,4,7/28/20,0,thewest.com.au,
83,Australia,Oceania,4,5/4/20,0,www.canberratimes.com.au,
84,Australia,Oceania,4,2/4/21,1,www.abc.net.au,
85,Australia,Oceania,4,5/13/21,1,www.abc.net.au,
86,Australia,Oceania,4,4/6/21,1,www.graincentral.com,
87,Australia,Oceania,4,7/9/21,1,www.en.krishakjagat.org,
88,Australia,Oceania,4,2/17/21,1,www.abc.net.au,
89,Australia,Oceania,4,8/4/21,1,www.graincentral.com,
90,Australia,Oceania,4,11/18/21,1,www.theland.com.au,
91,Australia,Oceania,4,9/7/21,1,www.abc.net.au,
92,Australia,Oceania,4,5/11/22,2,www.9news.com.au,
93,Australia,Oceania,4,8/11/22,2,theconversation.com,
94,Australia,Oceania,4,6/30/22,2,statements.qld.gov.au,
95,Australia,Oceania,4,6/17/22,2,www.abc.net.au,
96,Australia,Oceania,4,10/5/22,2,www.globenewswire.com,
97,Australia,Oceania,4,10/12/22,2,www.biospace.com,
98,Australia,Oceania,4,10/27/22,2,www.en.krishakjagat.org,
99,Australia,Oceania,4,4/8/20,0,www.abc.net.au,
100,Australia,Oceania,4,2/17/20,0,www.brisbanetimes.com.au,
101,Australia,Oceania,4,2/25/20,0,www.abc.net.au,
102,Australia,Oceania,4,4/1/20,0,www.abc.net.au,
103,Australia,Oceania,4,4/24/20,0,www.abc.net.au,
104,Australia,Oceania,4,9/16/22,2,www.abc.net.au,
105,Bangladesh,Asia,3,7/27/22,3,phys.org,
106,Bangladesh,Asia,3,12/13/19,0,unb.com.bd,
107,Bangladesh,Asia,3,7/31/22,3,krishijagran.com,
108,Bangladesh,Asia,3,8/18/22,3,www.cimmyt.org,
109,Bhutan,Asia,3,6/14/21,2,kuenselonline.com,
110,Botswana,Africa,1,6/6/19,2,allafrica.com,
111,Botswana,Africa,1,4/1/21,4,allafrica.com,
